id,latitude,longitude
928,-34.5,16.5
929,-34.5,17.0
930,-34.5,17.5
931,-34.5,18.0
932,-34.5,18.5
933,-34.5,19.0
934,-34.5,19.5
935,-34.5,20.0
936,-34.5,20.5
937,-34.5,21.0
938,-34.5,21.5
939,-34.5,22.0
940,-34.5,22.5
941,-34.5,23.0
942,-34.5,23.5
943,-34.5,24.0
944,-34.5,24.5
945,-34.5,25.0
946,-34.5,25.5
947,-34.5,26.0
948,-34.5,26.5
949,-34.5,27.0
950,-34.5,27.5
951,-34.5,28.0
952,-34.5,28.5
953,-34.5,29.0
954,-34.5,29.5
955,-34.5,30.0
956,-34.5,30.5
957,-34.5,31.0
958,-34.5,31.5
959,-34.5,32.0
960,-34.5,32.5
961,-34.5,33.0
962,-35.0,15.0
963,-35.0,15.5
964,-35.0,16.0
965,-35.0,16.5
966,-35.0,17.0
967,-35.0,17.5
968,-35.0,18.0
969,-35.0,18.5
970,-35.0,19.0
971,-35.0,19.5
972,-35.0,20.0
973,-35.0,20.5
974,-35.0,21.0
975,-35.0,21.5
976,-35.0,22.0
977,-35.0,22.5
978,-35.0,23.0
979,-35.0,23.5
980,-35.0,24.0
981,-35.0,24.5
982,-35.0,25.0
983,-35.0,25.5
984,-35.0,26.0
985,-35.0,26.5
986,-35.0,27.0
987,-35.0,27.5
988,-35.0,28.0
989,-35.0,28.5
990,-35.0,29.0
991,-35.0,29.5
992,-35.0,30.0
993,-35.0,30.5
994,-35.0,31.0
995,-35.0,31.5
996,-35.0,32.0
997,-35.0,32.5
998,-35.0,33.0
